name,hex
Magenta-Pink,#E550D1
Medium Blue-Violet,#6C72D3
Wine Red (Dark Purple),#690977
Gold Ochre,#B49430
Aquamarine Cyberspace,#7FF4F0
Deep Purple,#9D1E8F
Medium Purple-Lavender,#655BE7
Purple-Pinkish Lavender,#D693DC
Lime Green,#0EFE44
Plum Violet,#BB4F8C
Lime Green,#2CEA0B
Amethyst Purple,#4118B9
Midnight Blue,#0B1E20
Sage Green #477C74,#477C74
Rosy Beige,#F0BBBC
Teal (Spectral teal),#3EB4A2
#0D1CF1 (Deep Cobalt Blue),#0D1CF1
Saffron,#BED454
Sapphire Blue,#2EB7E7
Light Periwinkle,#B5A9AB
Sea Foam Green,#CBE098
Silver-greyish cyan,#909F9D
Wine Red,#C02387
Dark Slate Gray,#21303E
Lime Green,#04E442
#FBCAE7 (Flamingo Pink),#FBCAE7
Sage Green,#8EA486
Sunnyside Yellow,#ABD401
Fire Red,#FF1253
Greenish Blue (Sometimes referred to as Sage Green or Aqua),#7CBD13
Midnight Blue,#23172E
Magenta Rose,#CF0D91
Indigo Deep,#231DFD
Teal Blue,#3ABAAF
Indigo Violet,#953CED
Medium Purple,#6322A5
Olive Green,#B8C18C
Sage Green,#648F0E
Indigo Violet,#7D4AAE
Deep Purple #7F5389,#7F5389
Medium Purple-Blue (also known as Deep Lavender or Royal Lilac),#706EC0
Green Sea (Shamrock),#38C55F
Greenish-cyan (Semi-strong),#70BF9B
Dark Golden Brown,#8D7F0F
Wine Red,#A31F2E
Cyan (Blue-Green),#0C8FF1
Turquoise Blue,#A3C3B5
Sapphire Blue,#59E1F0
D4E350 (Decorative Yellow-Green),#D4E350
Medium Purple-Red,#8F2CC1
Fiery Red,#F42D1D
Fuchsia Violet (often referred to as Magenta),#FD40DD
Turquoise Green,#D2F3D5
Lime Green,#06FE37
Sapphire Blue,#1F63D4
Dark Sapphire Blue,#0778E1
Cyan-blue,#1ED4E4
#33DC55 (Hex Code) or Aquamarine (Common Name),#33DC55
Fuchsia Rose,#F22DCE
Brownish Gold,#B99A45
Sage Green,#4F9271
FDFA68 (Fluorescent Yellow-Green),#FDFA68
SaddleBrown,#998378
Deep Purple #7005A4,#7005A4
Green-Teal (Sage Green),#287E58
Gold Marigold,#F7B110
Lime Green (Saturated),#2CBB47
Sapphire Blue,#41B9F1
Maroon 5,#4B0936
Indigo Purple,#2A1794
Sage Green,#9AA155
MediumPurpleDeepCarmine,#CC72D4
#4ADAAB (Cyan Teal),#4ADAAB
Dusky Magenta,#DF0FA3
C5B3EA (Light Purple),#C5B3EA
Green (specifically Lime green),#3CB620
Duckfeather,#DCF0BA
Indigo (Dark),#6558E5
Red-Brown (Dark Scarlet),#D23964
Wine Red (#990489),#990489
Indigo (Dark),#5B76C3
C3884B,#C3884B
Sage Green,#60784A
Teal Green,#1CA13A
Deep Raspberry,#C52A7B
Red-Brownish-Purple (Maroon Purple),#A34D69
Sage Green,#A7FA5C
Light Cyan,#BCB1E2
"#AB764B (Antique Gold, Autumn Orange)",#AB764B
Ash Grey,#A9B0A8
Indigo (Dark),#5660B6
Goldenrod,#FEFA48
Sage Green,#C1C34B
Lime Green,#4CBA04
Plum Burgundy,#BE139D
Indigo (Dark),#3C37B9
Burnt Sienna,#A43623
#1F5F81 (Hexadecimal) or Dark Slate Blue (Common Name),#1F5F81
Medium Purple-Blue (Purple Violet),#450CCE
A066DF (Hexadecimal),#A066DF
Saffron,#EBF43E
Lime Green,#0BA802
Navy Blue,#0C355B
Cyan-Blue,#15A6FB
Deep Purple,#5D347A
Lime Green (Spring Green),#06C023
Teal Blue (#1FA091),#1FA091
Dark Navy Blue,#16204F
Huskypowder Blue,#66C2F1
Indigo (Deep),#0321E7
Medium Purple,#8369C7
Fuchsia Magenta,#EC38FF
Sapphire Blue,#519DD2
Dark Navy Blue,#2B282D
Dark Nutmeg,#5F5342
Olive Green,#5F7208
Maroon 5,#361020
Warm Red-Pink (Rose Crimson),#E9677E
Cyan-Blue (Sapphire Blue),#0B7EBC
Sunglow,#B7E706
Sea Green,#88F9D6
Marigold Orange,#EB0F02
Seafoam Green,#2FF0AB
Sapphire Blue,#56C7FA
Medium Purple-Lavender,#755EA1
Medium Violet Red,#DD7C97
Fuchsia Magenta,#E844C3
Sky Blue Shade 3,#41F6FC
Medium Blue-Violet,#9698C6
"Cerise (French for ""Cherry"") or Wine Red",#CE087E
Maroon,#530813
Wisteria,#C811CD
Lime Green,#51CC08
Dusky Magenta,#D67FBD
Sea Green,#0CDA6E
Dark Purple (Almost Maroon),#221191
Honey Gold,#EADA61
Deep Magenta,#A731F1
Dusty Rose,#D9C0C3
Dark Navy Blue,#153941
Lime Green,#62DE2F
Lime Green,#4CD263
Sage Green,#44795A
D32123,#D32123
Chestnut Brown,#786626
Sapphire Blue,#067481
Sage Green,#99B0AA
Teal,#0FF0F4
Teal,#05B4AD
Sage Green #5B7D5F,#5B7D5F
Dodge Blue,#44DFE4
Fuchsia Magenta,#FA3CCF
Fuchsia Magenta,#F218CB
Maroon Red,#A90989
Dusty Rose,#D67066
Sage Green,#69A453
Indigo Dusk,#959BD6
Dusky Beige,#858475
Sage Green,#A1BA05
Emerald Green,#2CC743
Seafoam Blue,#4F7F8E
Fiery Red,#F11A45
Sea Green,#2BE684
#1945AF (Hexadecimal) or Dark Blue-Violet (Common Name),#1945AF
Gold Orange,#EA990F
Purple-Red (or Deep Lilac),#7D2FA2
Red-Brownish Maroon (Approximate),#AA1532
Sage Green,#B2E1B8
Honey Gold,#ECE0AA
Burgundy Wine,#3E1129
Fuchsia Magenta,#F969D9
Lime Green,#51E105
Indigo (Dark),#132596
#7477C6 (Hexadecimal) or Medium Cyan (HTML color name),#7477C6
Light Salmon Pink,#CA84D3
Saddle Brown,#4B4716
Emerald Green,#19AA75
Indigo,#367697
Indigo (Dark),#275487
Deep Purple #600F95,#600F95
Indigo (Dark),#164CB7
Wine Red,#C15A8B
Atlantic Blue,#79B2DB
Purple-Blue,#8609F9
Sky Blue (Shade of Sapphire),#A3ECFC
Dark Green (Olive),#435B4A
Dark Olive Green,#505D38
Forest Green,#042F1B
Sage Green,#27B50B
Indigo Purple,#40157E
#EEA6B4 (Eelish Pink),#EEA6B4
Maroon,#950522
Deep Teal,#032152
Electric Blue,#12AFF0
Sky Blue,#91F7DC
Lime green,#62C169
Dark Forest Green,#173943
#1AB730 (Hexadecimal Green),#1AB730
#A4D171 (Sage Green),#A4D171
#EA3200 (Orange-Red),#EA3200
Cyan-Blue,#1A8EBD
Indigo Deep,#102A41
Golden Yellow,#E4C302
Fuchsia Magenta,#FA3EDF
Dark Ruby,#8F1D19
Green 348C (#4C8A37),#4C8A37
Lime Green,#33FB03
Mars Orange or Tangerine,#9C381A
Dark Greenish Grey,#364643
Sage Green #9BF064,#9BF064
Mint Green,#90CD7B
Indigo (Dark),#1E0395
Forest Green,#475410
Honey Gold,#D3C54D
Emerald Green,#0BBC8F
Sage Green,#47A994
Deep Raspberry,#DB0268
Deep Purple-Rose,#C132B7
Dusty Rose,#D875B3
Raspberry Blush,#BF4B93
Deep Fuchsia,#B602A0
Burnt Sienna,#E7AF93
Medium Purple-Blue,#886BC3
Deep Sapphire Blue,#053D89
Lime Green,#70E616
Greenish Yellow (Sometimes referred to as Lime Green or Chartreuse),#75BB23
Lavender Blush,#E7C2E9
#97CC47 (Lime Green),#97CC47
F9C4B1 (Peach Blush),#F9C4B1
Dark Dusty Plum,#695762
Sage Green,#96A96C
Warm Red-Brown (Burgundy Red),#A64955
Sage Green (Approximately),#51924C
Amethyst Violet,#952ADB
Teal Blue (Sapphire Blue),#1C95C7
Sapphire Teal,#63D5BF
Burnt Sienna,#A62639
Teal,#0DA797
#0978F8 (Sapphire Blue),#0979F8
Dandelion Orange,#D24014
Wine Red,#B75585
Lime Green,#56CC38
Teal Blue,#5CDDD1
Purple15 (#B815DF),#B815DF
Medium Cyan,#66BBC4
Red-Violet (E33471),#E33471
Indigo (Dark),#123ABF
Seafoam Green,#6EC8B0
Sage Green,#45C32D
Deep Purple (#9A24B6),#9A24B6
Lime Green,#5FA401
Tangerine Orange,#ED450A
Green (specifically #35D026),#35D026
Maroonish Burgundy,#BE3D2D
Plum Purple,#D76DCB
Hue #5B89D6 (Hexadecimal),#5B89D6
Dark Brownish Red,#553631
Indigo A9,#0E10A9
Dark Navy Blue,#485E68
Sage Green,#53876B
Indigo Purple,#7B178F
Burnt Sienna,#CB6D20
Deep Plum Red,#DC1E5D
Lime Green,#54CD06
Indigo Purple (often referred to as Royal Purple or Ultra Marine),#3013DF
Raspberry Blush,#ED6BA6
Sapphire Blue,#2497A4
Green Yellow (Greenish Yellow),#7FAB25
Ceauea,#CEA2EA
Emerald Green,#06A857
Wine Red,#631553
Sea Green,#75DE84
Gold (Burnt Sienna),#DABB07
Chestnut Brown,#6E4108
Gold Marigold,#9B7201
Seafoam Green,#8CE8CF
Burnt Sienna,#BB6047
Gold (Metallic),#F1D201
Dark Plum Wine,#3D2D58
Cerise Magenta,#CD3C89
Sapphire Blue,#2297C0
Dark Slate Gray,#414450
Greenish Yellow,#7EF21D
Dark Olive Green,#493512
Dark Violet #51058E,#51058E
Green (Sage Green or Forest Green),#1F753F
Dark Forest Green,#1B374F
Ecstasy Orange,#EC6704
Lime Green,#2AFFB4
Fuchsia Violet,#F808BA
Wisteria Purple,#6D14B6
Burnt Sienna,#D77018
Dark Orange,#9B3717
Sapphire Blue,#75CADB
Sage Green,#96BC6E
Emerald Greenish,#55AC4F
Fuchsia Magenta,#FF5775
Fiery Orange,#F39122
Sage Green,#E4F3E5
Deep Raspberry,#C2228F
Medium Purple-Red,#B884C1
Sage Green,#BEAD8E
Strawberry Milkshake,#DEC9F7
Cerulean Blue,#90A4CC
Indigo Purple (Dark),#542FBF
Lime Green #39F760,#39F760
Green-Cyan,#44A565
Periwinkle Lavender,#BE5EDD
Sage Green,#A5BC2D
"#9198E1, Hex Indigo",#9198E1
Fuchsia Rose,#FFA5C7
E7E1C6 (Light Goldenrod),#E7E1C6
Indigo (Dark),#164E98
Greenish Cyan,#77BC5E
Maroon 6,#661306
Teal,#0EA88B
Fuchsia Rose,#FF3FEE
Indigo Violet,#7C66DD
Emerald Green,#08935C
Turquoise Green,#45DD94
Medium Purple-Blue,#7A5CD5
Maroon,#872028
Aquamarine Cyan,#03C1C1
Teal (Spatial Teal),#7CCDB6
Lime Green,#09F05E
Sapphire Blue,#77C8F5
Lime Green,#3CE501
#1CE086 (Teal Green),#1CE086
Medium Violet Red,#CD56BE
#8CEB27 (Green-Yellow),#8CEB27
Light Powder Blue,#EFDDE0
Indigo,#5322B6
Greenish-cyan,#7DE13C
Wine Red,#913288
#4F4BDA (Deep Cobalt),#4F4BDA
Burnt Sienna,#B75243
Fuchsia Rose,#FB6494
Sage Green #1A7665,#1A7665
Greenish-Cyan,#01ED78
Deep Plum,#AC0A8E
Sage Green,#24715E
Golden Brown,#DC8A0D
HEX #AFCE0D,#AFCE0D
#08E8D9 (Hexadecimal: 08 E8 D9),#08E8D9
Amber-Orange,#AB8722
Indigo,#23438B
Red-Brown (Terra Rosa),#A70D29
Magenta Violet,#FE80FC
Fuchsia Rose,#FC99F7
Cyan (Teal),#09B8EF
Sage Green,#0A9E58
Teal Green (or Aquamarine),#018681
Fuschia Rose,#FA474F
Maroon Saffron,#CE574F
Gold Marmalade,#7C6908
Lime Green,#2CE044
Wisteria Purple,#691F98
Mahogany Brown,#A08F62
Plum Magenta,#C80FB8
#4A73DF (Hexadecimal) or Dark Cyan (Named color),#4A73DF
Fedora Orange,#FED06A
Indigo,#30689A
Indigo Violet,#6D15CF
#11ADE5 (Hexadecimal) or Sky Blue (Common Name),#11ADE5
C8172A,#C8172A
Sage Green,#90EFB5
Fuchsia Rose,#FDA11C
Turquoise Green,#2CDA8D
Sea Green,#72B194
Light Purple (Lavender),#CA8DEA
Eclyptus Rose,#EC8F94
Seafoam Green,#5FE26C
Sapphire Blue,#3DB6F5
Aquamarine (Light),#88DDD0
Sapphire Blue,#3F809A
Deep Purple (or Magenta),#D951E6
Indigo (Dark),#7661A4
Green (Specifically #28A702),#28A702
Fushia Magenta (#F53F6D),#F53F6D
Maroon,#811B26
Golden Sand,#E1AE5C
E95F72,#E95F72
Indigo Deep,#403558
Sapphire Blue,#3ABDC7
Wine Red #D60B51,#D60B51
DDE136 (Duck Egg Greenish Yellow),#DDE136
Navy Blue,#082033
Mars Red (or Burgundy),#8A1530
Honeyed Ivory,#E0DE93
Saddle Brown,#84861D
Wine Red ( approximation ),#B42561
Lime Green,#34F20E
Green Forest (Dark),#14612F
HEX #5CF472 (Teal Green),#5CF472
Crimson Red,#991148
Sage Green,#78BB9D
Electric Aqua,#0ADBDF
Medium Purple (or Deep Lilac),#2C16FF
Dark Mahogany Brown,#695B57
Teal (Sapphire Blue),#018EC1
Plum Wine,#BB4C8D
Deep Purple (#5C28A8),#5C28A8
Golden Sand,#C8BD5D
FADEA8,#FADEA8
Red-Brown (Maroon),#A7636D
#0CB101 (Lime Green),#0CB101
Dark Cypress,#278E9C
Cobalt Blue,#0882E3
Fiery Red,#F15B5B
#862EE2 (Deep Purple),#862EE2
Sapphire Blue,#0EB6B4
#04ED7B (Hexadecimal) or Sage Green (Common Name),#04ED7B
Deep Raspberry,#CF1197
Dark Indigo,#2D205E
E793A8 (#E793A8),#E793A8
Fire Engine Red,#F7121F
Seafoam Green,#65B29B
Dark Maroon,#8F626B
Sage Green #98F3A7,#98F3A7
Indigo (#2953AE),#2953AE
Sapphire Blue,#5FA6C6
"Dark Grayish Adamsite (Fictional name, based on the hex code)",#ADADAD
Dark Navy,#1C0E0F
Fuchsia Rose,#FD96E3
Rose Pink,#F3D6CB
Lime Green,#2DFF04
Dark Teal,#16496E
Burnt Sienna,#B65122
Sea Foam Green,#67CC81
Green (specifically Lime Green),#29B528
Cyan Aqua,#2EE5C7
#326860 (Dark Forest Green),#326860
Golden Brown,#A39B40
Cyansky Blue,#27CEE9
Goldenrod,#E4DA4B
Sage Green #56E348,#56E348
Sapphire Blue,#24A8C9
Emerald Green,#5BC54A
Amethyst Purple,#7E4DEC
Indigo,#9A9DD4
Emerald Green,#0AEE2F
#FA0663 (Fuchsia Magenta),#FA0663
Fiery Rose,#F1347B
Plum Rose,#A69A95
Ultra Violet,#6F41FF
Gold (Metallic),#F8B74B
Golden Brown,#E86B18
Plum Pink,#D6B0AC
Medium Slate Blue,#686BA7
Dark Bordeaux,#450D2C
Deep Magenta,#D307C0
Greenish-cyan,#3FB63C
Cyan (Blue-Green),#0EB1F7
Sage Green,#8D9383
Lime Green,#8DD32B
Golden Sand,#9F962D
Sage Green,#86B351
Teal (Cyan Green),#146DAF
Teal-cyan greenish,#54C1BF
Dark Olive Green,#455950
Maroon,#B07118
Lime Green,#5FD950
Deep Purple #8874E6,#8874E6
Mediterranean Blue,#6694ED
Emerald Green,#6ED790
#887D28 (Brownish Olive),#887D28
Maroon Burnt Sienna,#9B362A
Deep Purple #7F0A99,#7F0A99
Greeny Aqua,#4CA240
#08E6F9 (Hex Code),#08E6F9
Fiery Orange-Red,#F96364
Wisteria Purple,#C60CE4
Medium Purple-Blue (#4C2EB5),#4C2EB5
#28B1B2 (Cerulean Blue),#28B1B2
Duckfeather,#D0DD6E
Lime Green #74F61D,#74F61D
Sage Green,#537868
Wine Red,#660339
Seafoam Green,#86C6AC
Burnt Sienna,#B96056
Sage Green,#59A58C
Sapphire Seafoam,#19C3BD
#8F8639 (Dark Saddle Brown),#8F8639
Pumpkin Orange,#E74023
Brownish Greenish Gray (Approximate),#53481F
Deep Indigo,#323EDD
Sage Green #0A5A2F,#0A5A2F
Dark Plum,#52184A
Indigo Violet,#B23DB4
Greeny cyan,#4BB92D
Sapphire Blue,#4DC3BE
Wine Red,#81243D
Medium Purple (Plum),#B982B3
Emerald Green,#08B097
Greenish Blue (Slightly Desaturated),#94BC49
Cyansky Blue,#1AF7F6
Plum Rose,#EE93D1
Purple Mauve,#9D62B0
Fuchsia Magenta,#F408EB
Deep Cobalt Blue,#3838F0
Teal Green,#60837D
Seafoam Green,#5FE17D
Lime Green,#7DE72D
Greenish-cyan (aquamarine green),#19CE8A
Rusty Red,#EF0446
Indigo Purple (Dark),#7A3294
F9B053,#F9B053
Wistful Magenta,#E255AF
Green Sea,#18AD59
"#B237FE (Bright Purple, Fuchsia)",#B237FE
Cyan (Teal),#10C7E7
Fuchsia Magenta,#FF3C5B
Green (Specifically Lime Green),#2E9745
Sage Green,#80CD9A
Dark Teal,#063255
Light Sky Blue,#E8F1FB
Dusk Plum,#D46F9D
Indigo (Dark),#2A64F5
Cobalt Blue,#0962BA
Light Pinkish Lavender,#E1CADB
Marigold Orange,#CB6A45
Wine Red,#8B6881
Teal Blue,#0CC8DD
#1072B8 (Dark Cyan),#1072B8
Fuchsia Magenta,#F51679
Dark Berry Wine,#8F4F79
Sapphire Blue,#02BFC6
Sage Green,#7ECFB8
Cobalt Blue,#092FF9
Green (specifically #15DE5E),#15DE5E
Plum Purple,#A096D7
Lavender Mauve,#EEB7F9
Green Sea,#32D86C
Burnt Sienna,#E78E37
Light Blue-Grayish Cyan,#B6C5D1
Medium Purple-Pink,#E68AB3
Greenish Yellow,#ADEE4D
Green Olive,#52951D
Green-cyan #50F36A,#50F36A
Plum Blush,#E5B6D9
Dark Plum,#4E1F51
Brownish Red,#996538
Sandstone,#DB9E68
Maroon Rose,#E07590
Indigo,#0710A4
C7E9FF,#C7E9FF
Maroonish Burgundy,#9E344A
Dark Sea Green,#087B7E
"Ecru (or similar, as it's not an officially recognized HEX color name)",#ECE9C5
Brownish Gold,#887D1C
Marigold Orange,#DB5124
Maroon Shade 152,#A20588
Maroon Garnet,#7A2236
Goldish Yellow,#F6F07C
Seafoam Green,#4CE44B
Forest Green,#017F21
#13FDBF (Teal),#13FDBF
DDC275,#DDC275
Maroon Garnet,#BF3986
Sage Green,#459171
Greenish Yellow,#B2B73C
Magenta (Deep),#8F17D8
Sage Green,#88B148
Emerald Green,#5ED13D
Fiery Rose,#F1256C
Red Pomegranate,#E90445
Fuschia Rose,#F6545D
Dandelion Gold,#D8C558
Sage Green,#90B15F
Indigo (Dark),#4E2DB9
Aqua Cyan,#7CD1F5
Aqua Cyan,#1FC5B0
Burnt Sienna,#C46409
Medium Purple-Red,#936AAD
Golden Brown,#B4894E
Marigold Orange,#E47A2A
Sage Green #539991,#539991
Medium Purple (or Deep Lilac),#8167CB
Tuscan Sun,#D6938F
Goldish Brown,#A48007
Teal Blue,#50B3A1
Indigo Deep,#1B0AAA
Sapphire,#33EDE8
Dodge Magenta (closest Pantone match) or Fuchsia Rose,#D738F3
Firebrick,#F6040B
Deep Cyan,#2577FC
Fuchsia Magenta,#F80D6A
Lime Green,#37DF40
Indigo Deep,#202D9B
Burnt Sienna,#AF2A1F
Sage Green #73D283,#73D283
Caramel Brown,#C3A86B
Deep Cobalt Blue,#465FDA
EADD66,#EADD66
Lime-Green Sapphire,#BFE9AA
Green-Yellow #9BC948,#9BC948
#83ACEF (Sky Blue Shade),#83ACEF
Cadet Blue,#B3A7C2
Burnt Sienna,#C88114
Teal13BA89,#13BA89
Cobalt Blue,#013CC6
Dandelion Yellow,#D5D71D
Sage Yellow-Green,#E8F05C
Crimson Red,#D01C91
Dandelion,#EAE894
Dark Indigo Purple,#5E3BCE
Aquamarine,#8FF0E5
Indigo,#6778C9
Deep Raspberry,#C26095
HEX #52E688 (Teal Green),#52E688
Indigo (Dark),#0706B5
#C71C24 (Red-Burgundy),#C71C24
HEX #16F3ED (Teal Blue),#16F3ED
Husk (#A395C4),#A395C4
Golden Sand,#F8EF8A
Lime Green,#9BD70C
Indigo Purple,#7D43C1
Sage Greenish Brown,#5C6145
Lime green,#A6D901
Wistful Magenta,#C578A4
Medium Purple,#6F5BB0
Indigo Violet,#6A15FA
Indigo (Deep),#3A6EF1
Medium Purple-Lavender,#A56EF2
Sage Green,#748F0B
C7D005 (Hexadecimal) or Saffron (Common name),#C7D005
Teal14E7C4,#14E7C4
Light Purple,#ACA8C1
Burgundy Wine,#74182C
Indigo (Dark),#4462D0
Green (specifically #16E45F),#16E45F
Deep Cyan,#5982F9
Indigo Deep,#4039D9
Navy Blue,#1D314A
Dandelion Yellow,#D3B71E
Meadow,#CBB696
Warm Plum,#C36577
Wisteria,#EA65E0
Tawny Sand,#C5AC8A
Cobalt Blue,#0E27C2
Red-Purple (Rubine),#A41D83
Sage Green,#B8E7B3
Bordeaux Wine,#B12238
Emerald Greenish,#16FF8D
Goldish Brown,#D89D47
#13F8C0 (Hexadecimal) or Aquamarine (Common Name),#13F8C0
Burnt Sienna,#AE3F1B
Sage Green,#054129
Sage Green,#B7BD89
#DD71AF (Deep Magenta),#DD71AF
Green-cyan (teal),#70F19D
Cyansky Blue,#6BEFDA
Sage Green,#95DB47
Cyan Teal,#5CC6FE
Lime Green (Bright Green),#9DF80C
HEX #579CFC,#579CFC
Green Turquoise,#B2FE5E
Teal Blue,#0CDBF2
Sage Green,#059559
Seafoam Green,#5FD18D
Medium Purple (Shade of Lavender),#BB8DAD
Brownish Maroon,#532F20
Wisteria Purple,#B401F0
"#92DFD6, Seafoam Green",#92DFD6
Magenta Rose,#C7898E
Maroon1,#AC1114
Deep Purple-Red,#AB48A4
Cyanspectrum,#3BDAAF
Green-Cyan (Spectral green),#71EF76
Sage Green,#94B459
Green Olive,#32660A
Turquoise (Sapphire),#5FE6D0
Daffodil Yellow,#DBD234
Dark Cobalt Blue,#15148C
Fire Red,#FF1902
Sea Green (Turquoise-Green),#2BB68C
Turquoise Cyan,#3ACADD
Green-Yellowish,#8CEE7D
Cyanoaquamarine,#1AAFF5
Emerald Greenish Yellow,#0EE52D
Deep Cobalt Blue,#2F50A9
Graphite Gray,#4C4023
Sage Green #0C5810,#0C5810
Dark Purple-Plum,#2F0D74
Deep Magenta,#A704CB
Light Pale Pink,#F1DCD8
Sage Green,#94A426
Dark Purple-Red (Dusky Plum),#420D4F
Fuchsia Rose,#F27A94
Burgundy Wine,#3F014B
Burnt Sienna,#E0873A
Mars Orange,#DA5202
Sage Green,#8BF7A6
Wine Red,#6C1467
Deep Purple,#B104C5
Dandelion,#D1A272
#DB7AEF (Purple Violet),#DB7AEF
Dusty Gold,#D5B915
Sage Green (approximately),#538026
Medium Slate Blue,#1B718B
Seafoam Green,#1DB97E
Burnt Sienna,#813C3A
Dark Olive Green,#52550F
Cyanspectrum,#3BE17C
Maraschino Cherry,#DB1464
ADB728 (Hexadecimal) or Golden Brown (Common name),#ADB728
Navy Blue,#1C2855
Maroonish Red,#BB3250
Turquoise Green,#2DDF96
Sage Yellow-Green,#C4DD1B
FAFC09 (Golden Yellow),#FAFC09
Dark Ruby,#97311D
Scarlet Red,#C41D2B
"Lime Green (Sometimes referred to as Split Complementary of Red, or Chartreuse)",#09B723
Fuchsia Magenta,#F93582
Fuchsia Magenta,#E934F9
Deep Purple,#D974E4
#5ABBF7 (Cerulean Blue),#5ABBF7
Reddish Brown (Dark Chocolate),#722C21
Sage Green,#A5D09A
#9B960C (Khaki),#9B960C
Scarlet Red,#C2402D
#2171DB (Hexadecimal) or Electric Indigo (Common name),#2171DB
Indigo Cobalt,#3018C8
Green #24C139,#24C139
Sage Green #119F75,#119F75
Medium Purple #A387AD,#A387AD
Golden Brown,#CABA25
Plum Purple,#C05CBF
Deep Purple (#7F42E1),#7F42E1
Marigold Orange,#E78133
Magenta Deep,#E518D6
Aqua-Blue,#4F7DA1
Maroon 5 (Approximately),#B50480
#FA2474 (Fuchsia Magenta),#FA2674
#FF99AD (Fuchsia Rose),#FF99AD
"Green (Specifically, Emerald)",#48AF5E
Burnt Sienna,#A16304
Peachy Beige,#F8E3C4
Sage Green,#299568
"#8930D1, Purple Heart",#8930D1
Deep Purple #715693,#715693
Deep Teal,#0C76D2
Burnt Sienna,#BC8E3E
Forest Green,#0D230B
Dark Teal,#038098
Sapphire Blue,#13A3C6
Salmon Pink,#F3B6AC
Turquoise,#2DD3B1
ED17D4 (Fuchsia Magenta),#ED17D4
#0F76F9 (Hex) or Cyan (Blue) (Commonly used name),#0F76F9
Teal Green,#38E7E1
Deep Purple,#D139D4
Deep Purple,#8A4897
Dark Navy Blue,#34274B
Gold Yellow,#AAD621
Medium Purple,#DD438D
#ADDDB1 (Aquamarine Blue),#ADDDB1
Indigo (Dark),#1B3CD7
Deep Rose,#D16A8C
Forest Green,#416740
Deep Fuchsia,#FC4277
Cyan Aqua,#5DC8D8
Lime Gold,#D6EE22
Deep Cobalt-Purple,#5C3EC4
Mahogany,#E6AD95
Sky Blue,#9AE8F6
Lime Green,#21CF96
#0F7578 (Dark Teal),#0F7578
Purple-Red (also known as Plum or Wine),#84398F
Dandelion,#D7BB8A
Medium Purple-Lavender,#DD99F5
Maroon Shade 1 (#B70489),#B70489
Dark Purple-Brownish,#20224F
Sapphire Blue,#126495
Raspberry Blush,#EF90EA
Sage Greenish Yellow,#90B621
Fuchsia Rose,#F41E82
Tiger Orange,#D85E40
ADEA32 (Hexadecimal) or Lime Green (Common name),#ADEA32
Dark Purple-Brown (or Dusk Purple),#4E2D3A
Azure Cyan,#9DA9C7
#948DFC (Lavender Mauve),#948DFC
Caf048 (Custom Gold),#CAF048
Light Steel Blue,#B3BCE7
Sapphire Blue,#169FC4
Maroon Red,#B83A25
D9FB74,#D9FB74
Burnt Sienna,#C57D3E
Burnt Sienna,#C46735
Lime Green,#62F315
Maroon,#DD275A
Plum Purple,#936C9C
Emerald Green,#5DBA62
Purple-Red (Raspberry),#A30CA4
Burnt Sienna,#976751
Teal Green #6ABA9D,#6ABA9D
Rose Dust,#F6A5B6
Fuchsia Rose,#FA241B
Teal (Sap Green or Aquamarine),#0CE093
Dark Slate Gray,#3E202B
Medium Purple,#6237AD
Burgundy Maroon,#691E27
Dark Teal,#0B6B5B
Forest Green,#116A01
Maroon 912964,#912964
Persimmon,#D76655
Sage Green,#60C41E
Sage Green,#68A85D
Saffron,#C44519
Sage Green #319662,#319662
Indigo (Dark),#8D91E1
Burnt Sienna,#CB701A
Aquamarine-Turquoise (#24F8DF),#24F8DF
Sage Green,#64D831
Indigo (Dark),#1B49C7
Firebrick,#FD1E0E
Indigo (Dark),#5710C9
Golden Brown,#DBB527
Sage Green,#53F87A
Ultra Purple,#2F05F8
Medium Cobalt Blue,#5C56B0
Cyansky,#0FEBF2
Sapphire Blue,#439AAC
Sage Green,#B7EC60
Golden Brown,#BA881E
Deep Cobalt Blue,#2C9DFF
Fuchsia Rose,#F9A6F6
Deep Purple #201093,#201093
Sapphire Teal,#8FE2C2
Sage Green,#85F628
Ultraviolet,#5E3DF6
Sapphire Blue,#24B1D5
Sapphire Blue,#4FD9C4
"ED A6 E5 (Purple - Specifically, Lilac)",#EDA6E5
Sapphire Blue,#75D7F4
Cadet Blue,#C3A4A0
Lime Green,#6DA02A
Firebrick,#F6104E
Cyansky Blue,#6AF9EF
Magenta Mauve,#EB1B6B
Fuchsia Magenta,#EA14C7
Burnt Sienna,#94572F
Lime Green,#59EE82
Green-Blue (Sage),#225B48
Green-Yellow (Verdigris),#69A821
Green-Yellow (Sage),#4BA20C
Green (specifically Lime Green),#469201
Wine Red,#81313B
Dark Burgundy,#3A112C
Greenish yellow,#8FA816
Dark Purple,#14137E
Dark Sea Green,#267A68
Indigo Violet,#5D3363
Sage Green,#B0D097
Silver Mist,#86A7A7
Plum Purple,#C2B4D2
#1D8AFD (Hex Code),#1D8AFD
Deep Purple #912091,#912091
Cyan-Blue (Teal),#05A5EB
Cyan (Teal),#0091BF
Lime Green,#3CE274
Silver-grey,#D9DFA9
Magenta,#C50787
Chestnut Brown,#6E5D3A
Aquamarine,#0CF8A8
